diamond_id,value_tier,tier_label
74472062,mid_range,1
50990981,mid_range,1
76220055,mid_range,1
75849724,mid_range,1
73934834,budget,0
75720842,mid_range,1
65292555,investment_grade,3
75713416,investment_grade,3
57799321,mid_range,1
75530016,budget,0
75533577,budget,0
72194392,mid_range,1
74100192,mid_range,1
72952687,investment_grade,3
75761831,mid_range,1
75760512,investment_grade,3
70928031,mid_range,1
75531473,budget,0
75753214,mid_range,1
75840153,mid_range,1
73935050,investment_grade,3
75762794,investment_grade,3
75828302,investment_grade,3
75763566,mid_range,1
75522000,budget,0
75599220,budget,0
75598913,budget,0
75538943,mid_range,1
70512129,premium,2
74197950,budget,0
75762231,mid_range,1
75826674,mid_range,1
76274192,investment_grade,3
74071126,mid_range,1
75627677,mid_range,1
76225089,mid_range,1
75839264,mid_range,1
75522111,budget,0
76042378,investment_grade,3
75490813,mid_range,1
75629792,premium,2
75269316,mid_range,1
72699485,budget,0
76218478,mid_range,1
75909378,mid_range,1
75676175,budget,0
75720882,budget,0
75139558,investment_grade,3
75823063,premium,2
73564036,budget,0
71115332,mid_range,1
75722487,investment_grade,3
70256798,budget,0
74876878,mid_range,1
75222063,mid_range,1
54614431,budget,0
74177794,premium,2
67230187,budget,0
73918377,mid_range,1
74028025,mid_range,1
76048173,mid_range,1
75850155,premium,2
75518375,budget,0
62752965,budget,0
75141970,mid_range,1
75847618,investment_grade,3
76272844,mid_range,1
75592751,premium,2
56373955,budget,0
75843340,premium,2
75537916,budget,0
75529771,budget,0
75600505,budget,0
50989356,budget,0
75518348,budget,0
75855148,budget,0
75817363,budget,0
75827711,mid_range,1
75757211,premium,2
75690873,mid_range,1
75725985,premium,2
75783809,investment_grade,3
75753269,mid_range,1
74131390,mid_range,1
75760535,budget,0
72697161,budget,0
73224442,budget,0
60556500,mid_range,1
76143353,mid_range,1
73583932,premium,2
76356669,budget,0
74097868,mid_range,1
75903184,premium,2
73934432,budget,0
56924479,mid_range,1
75823027,mid_range,1
75539362,mid_range,1
72668885,premium,2
75756092,premium,2
56931442,mid_range,1
75535795,premium,2
75817245,budget,0
72911478,premium,2
74522441,budget,0
75762624,premium,2
76220186,budget,0
75856285,mid_range,1
75490807,premium,2
75748079,premium,2
75755050,premium,2
76341257,budget,0
75574503,premium,2
74126013,budget,0
75600593,mid_range,1
59209863,mid_range,1
75533616,premium,2
75823150,mid_range,1
75600386,budget,0
75574703,mid_range,1
75609472,premium,2
76061165,mid_range,1
75753552,premium,2
75594129,mid_range,1
75914555,mid_range,1
76358661,mid_range,1
74717547,mid_range,1
50989020,budget,0
74139818,mid_range,1
75627558,budget,0
73515863,premium,2
76191042,mid_range,1
75830675,mid_range,1
75756583,investment_grade,3
76340433,budget,0
71968682,budget,0
74009204,premium,2
52213403,premium,2
75684600,mid_range,1
75839631,mid_range,1
75533211,budget,0
75762088,premium,2
75544105,premium,2
44921988,premium,2
35296293,mid_range,1
75787268,mid_range,1
76209657,mid_range,1
75903245,investment_grade,3
50985855,budget,0
75222344,mid_range,1
75492809,budget,0
75593675,budget,0
75597483,mid_range,1
74062196,premium,2
75488214,mid_range,1
75916616,premium,2
75755255,mid_range,1
75764519,investment_grade,3
76225411,investment_grade,3
76272995,mid_range,1
75749970,mid_range,1
76214779,budget,0
75141969,mid_range,1
53265981,budget,0
75753190,mid_range,1
75849881,mid_range,1
51415371,premium,2
75701618,mid_range,1
75823230,mid_range,1
76063665,investment_grade,3
76262094,mid_range,1
74096075,mid_range,1
76247728,mid_range,1
75594814,budget,0
62792670,mid_range,1
75848857,mid_range,1
73052744,mid_range,1
76219661,budget,0
74814391,investment_grade,3
75782379,premium,2
76209666,mid_range,1
73881958,investment_grade,3
74276494,mid_range,1
56374171,budget,0
74137087,budget,0
75684582,mid_range,1
76199180,mid_range,1
76010676,mid_range,1
75801930,mid_range,1
76260113,premium,2
76179045,investment_grade,3
75492972,mid_range,1
75848418,budget,0
72663958,mid_range,1
71987856,premium,2
50983303,budget,0
56377306,budget,0
75527658,mid_range,1
75753818,mid_range,1
56924544,mid_range,1
74056133,mid_range,1
56557377,mid_range,1
75490734,premium,2
75755063,premium,2
74010979,investment_grade,3
75696707,investment_grade,3
75756310,mid_range,1
75521540,mid_range,1
75985816,budget,0
58672191,mid_range,1
74876942,investment_grade,3
75593879,budget,0
75599155,budget,0
75751816,mid_range,1
58009821,premium,2
76128237,budget,0
75518512,budget,0
72924384,premium,2
75690260,budget,0
74126334,investment_grade,3
50983433,budget,0
73782836,mid_range,1
53902500,mid_range,1
74068247,mid_range,1
72943182,mid_range,1
74755241,budget,0
73515908,mid_range,1
75527730,budget,0
73973671,premium,2
76248375,budget,0
74522543,mid_range,1
76356272,mid_range,1
56924153,budget,0
73839254,budget,0
76015245,mid_range,1
71941239,mid_range,1
71937450,premium,2
76360566,mid_range,1
76047842,budget,0
75829201,mid_range,1
75759847,premium,2
75843495,budget,0
75760760,mid_range,1
59178882,mid_range,1
66580428,mid_range,1
73512664,premium,2
75850620,premium,2
75597942,budget,0
75324272,budget,0
76273051,mid_range,1
75757288,mid_range,1
75829979,mid_range,1
75817526,mid_range,1
75599030,mid_range,1
75525071,mid_range,1
75600669,mid_range,1
54017031,budget,0
76075683,investment_grade,3
75801574,mid_range,1
69203474,mid_range,1
75851119,investment_grade,3
74764006,investment_grade,3
76010655,premium,2
56924110,budget,0
73508461,mid_range,1
75598550,budget,0
76217394,mid_range,1
75791047,mid_range,1
75593313,budget,0
73508796,mid_range,1
76010520,mid_range,1
75751809,mid_range,1
60840546,budget,0
75593482,budget,0
76210106,mid_range,1
75598882,budget,0
75918226,budget,0
75627703,mid_range,1
26280129,mid_range,1
75568237,budget,0
76274563,mid_range,1
74856435,mid_range,1
75568144,budget,0
75823474,mid_range,1
75533347,budget,0
75762363,premium,2
68167948,mid_range,1
56931410,mid_range,1
60840674,mid_range,1
72698727,mid_range,1
56924412,mid_range,1
76274460,premium,2
75518748,mid_range,1
73507185,mid_range,1
76214730,mid_range,1
64004020,mid_range,1
75575632,budget,0
75527495,budget,0
75755149,mid_range,1
76243572,mid_range,1
56377417,budget,0
75521374,mid_range,1
